MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1126057007137,17.57,0.10,174.81859,25.73700,54275.19402,0
1126057007137,17.31,0.09,174.81874,25.73682,54275.20044,0
1126057007137,17.43,0.09,174.81855,25.73698,54174.37478,0
1126057007137,17.43,0.09,174.81865,25.73689,54174.38428,0
1126057007137,17.47,0.09,174.81863,25.73694,54174.39378,0
1126057007137,17.45,0.09,174.81856,25.73693,54174.40326,0
1126057007137,17.43,0.09,174.81858,25.73695,54185.24534,0
1126057007137,17.27,0.09,174.81808,25.73677,54185.25405,0
1126057007137,17.44,0.09,174.81859,25.73695,54185.26274,0
1126057007137,17.43,0.09,174.81874,25.73698,54185.27143,0
1126057007137,17.42,0.09,174.81847,25.73690,54230.23818,0
1126057007137,17.47,0.09,174.81861,25.73697,54230.24462,0
1126057007137,17.34,0.09,174.81859,25.73693,54230.25106,0
1126057007137,17.47,0.09,174.81855,25.73688,54230.25747,0
1126057007137,17.43,0.09,174.81864,25.73695,54236.22995,0
1126057007137,17.38,0.09,174.81862,25.73687,54236.23749,0
1126057007137,17.44,0.09,174.81859,25.73693,54236.24500,0
1126057007137,17.39,0.09,174.81862,25.73698,54236.25254,0
1126057007137,17.48,0.10,174.81854,25.73698,54422.45246,0
1126057007137,17.53,0.10,174.81864,25.73700,54422.45958,0
1126057007137,17.37,0.09,174.81868,25.73689,54422.46667,0
1126057007137,17.47,0.09,174.81857,25.73689,54422.47381,0
1126057007137,17.46,0.09,174.81862,25.73702,54392.50638,0
1126057007137,17.58,0.10,174.81869,25.73699,54392.51078,0
1126057007137,17.41,0.09,174.81849,25.73698,54392.51517,0
1126057007137,17.54,0.10,174.81858,25.73701,54392.51951,0
1126057007137,17.33,0.09,174.81861,25.73695,54557.33312,0
1126057007137,17.43,0.09,174.81857,25.73689,54557.34173,0
1126057007137,17.49,0.09,174.81858,25.73695,54557.35034,0
1126057007137,17.50,0.09,174.81862,25.73693,54557.35901,0
1126057007137,17.39,0.09,174.81857,25.73701,54564.27052,0
1126057007137,17.48,0.09,174.81849,25.73691,54564.27700,0
1126057007137,17.43,0.09,174.81859,25.73701,54564.28345,0
1126057007137,17.48,0.09,174.81857,25.73696,54564.28990,0
1126057007137,17.54,0.09,174.81855,25.73701,54805.44693,0
1126057007137,17.45,0.09,174.81860,25.73696,54805.45351,0
1126057007137,17.53,0.09,174.81856,25.73690,54805.46019,0
1126057007137,17.50,0.09,174.81867,25.73699,54805.47273,0
1126057007137,17.48,0.09,174.81856,25.73696,54499.29528,0
1126057007137,17.50,0.09,174.81857,25.73700,54499.30252,0
1126057007137,17.50,0.09,174.81859,25.73695,54499.30975,0
1126057007137,17.39,0.09,174.81861,25.73695,54499.31692,0
1126057007137,17.52,0.10,174.81856,25.73693,54507.23160,0
1126057007137,17.39,0.11,174.81853,25.73701,54507.23943,0
1126057007137,17.49,0.11,174.81864,25.73698,54507.24731,0
1126057007137,17.37,0.10,174.81865,25.73689,54507.25519,0
1126057007137,17.31,0.09,174.81855,25.73695,54514.24090,0
1126057007137,17.40,0.09,174.81851,25.73705,54514.24721,0
1126057007137,17.41,0.09,174.81860,25.73684,54514.25336,0
1126057007137,17.38,0.09,174.81845,25.73710,54514.25952,0
1126057007137,17.34,0.09,174.81859,25.73687,54525.25306,0
1126057007137,17.43,0.10,174.81860,25.73695,54525.26015,0
1126057007137,17.48,0.10,174.81849,25.73696,54525.26724,0
1126057007137,17.39,0.09,174.81853,25.73702,54525.27431,0
1126057007137,17.44,0.09,174.81860,25.73695,54480.39190,0
1126057007137,17.47,0.09,174.81861,25.73695,54480.39852,0
1126057007137,17.42,0.09,174.81861,25.73698,54480.40512,0
1126057007137,17.43,0.09,174.81862,25.73694,54480.41170,0
1126057007137,17.37,0.09,174.81858,25.73712,54628.16951,0
1126057007137,17.38,0.09,174.81866,25.73700,54628.17399,0
1126057007137,17.44,0.09,174.81849,25.73693,54628.17847,0
1126057007137,17.39,0.09,174.81865,25.73689,54628.18298,0
1126057007137,17.42,0.09,174.81858,25.73696,54641.18933,0
1126057007137,17.46,0.10,174.81864,25.73695,54641.19801,0
1126057007137,17.46,0.10,174.81863,25.73688,54641.20542,0
1126057007137,17.58,0.10,174.81859,25.73680,54641.21279,0
1126057007137,17.44,0.08,174.81858,25.73695,54536.20980,0
1126057007137,17.50,0.09,174.81862,25.73691,54536.21572,0
1126057007137,17.48,0.08,174.81860,25.73701,54536.22165,0
1126057007137,17.47,0.08,174.81861,25.73694,54536.22755,0
1126057007137,17.45,0.09,174.81855,25.73689,54587.13109,0
1126057007137,17.50,0.09,174.81848,25.73699,54587.13653,0
1126057007137,17.51,0.09,174.81857,25.73702,54587.14200,0
1126057007137,17.46,0.09,174.81858,25.73698,54587.14741,0
1126057007137,17.56,0.10,174.81852,25.73689,54593.24653,0
1126057007137,17.51,0.09,174.81846,25.73707,54593.25299,0
1126057007137,17.46,0.09,174.81855,25.73701,54593.25943,0
1126057007137,17.51,0.10,174.81848,25.73691,54593.26589,0
1126057007137,17.52,0.09,174.81854,25.73694,54924.21119,0
